*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: CH3COOH
* Name: Acetic acid
* Edge: C 1s
* Alpha Formula: C2H4O2
* Data Source: Hitchcock
* Filename:  ai-0cckk.os
* Ref. Code: RI&88
* Write Date: 93/06/10
* Reference: J. El. Spec. 47 (88) 53.
* Source and Purity: N/A
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0aic.    name2- 0aic.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
   325.8910       36982.90       .7357870    
   326.0310       37538.90       .7473749    
   326.1700       37931.50       .7558002    
   326.3100       37937.90       .7567217    
   326.4500       37371.20       .7464598    
   326.5900       36785.50       .7358100    
   326.7300       37854.50       .7574756    
   326.8700       37019.30       .7419315    
   327.0090       36827.20       .7389433    
   327.1490       36777.60       .7387488    
   327.2890       36988.10       .7436522    
   327.4290       36520.30       .7352451    
   327.5690       36492.10       .7354661    
   327.7090       36408.80       .7345942    
   327.8480       36802.90       .7431271    
   327.9880       35943.90       .7269665    
   328.1280       36319.80       .7351470    
   328.2680       37520.70       .7596496    
   328.4080       36428.10       .7388312    
   328.5480       36093.30       .7329795    
   328.6870       36045.80       .7327985    
   328.8270       34950.00       .7118305    
   328.9670       35832.30       .7300989    
   329.1070       36054.10       .7352711    
   329.2470       35935.80       .7336858    
   329.3870       35983.90       .7354127    
   329.5260       35076.70       .7180927    
   329.6660       35294.70       .7231936    
   329.8060       34986.40       .7177932    
   329.9460       35182.10       .7224561    
   330.0860       35147.80       .7225256    
   330.2260       35013.20       .7205830    
   330.3650       34785.40       .7167645    
   330.5050       34613.10       .7140570    
   330.6450       34142.70       .7053519    
   330.7850       34893.10       .7211815    
   330.9250       34869.40       .7214581    
   331.0650       34174.20       .7082035    
   331.2040       35265.70       .7309557    
   331.3440       34349.60       .7132220    
   331.4840       35027.70       .7276692    
   331.6240       34102.40       .7097085    
   331.7640       34249.70       .7134354    
   331.9040       34457.20       .7183816    
   332.0430       34661.10       .7232596    
   332.1830       33789.30       .7063151    
   332.3230       34491.80       .7213267    
   332.4630       34395.50       .7201235    
   332.6030       33863.40       .7100335    
   332.7420       33608.70       .7055761    
   332.8820       34275.10       .7199090    
   333.0220       34242.40       .7199907    
   333.1620       33757.40       .7108256    
   333.3020       33253.00       .7012411    
   333.4420       33769.70       .7125562    
   333.5810       33125.00       .7000686    
   333.7210       33668.70       .7119612    
   333.8610       32562.10       .6899655    
   334.0010       32716.50       .6938564    
   334.1410       33279.60       .7061725    
   334.2810       32636.00       .6936411    
   334.4200       33275.50       .7075452    
   334.5600       33479.90       .7125039    
   334.7000       32914.70       .7015589    
