# XDI/1.0 Athena/0.9.24
# Element.edge:                  K
# Element.symbol:                C
# Column.1:                      energy eV
# Column.2:                      norm
# Column.3:                      nbkg
# Column.4:                      flat
# Column.5:                      fbkg
# Column.6:                      nder
# Column.7:                      nsec
# Athena.e0:                     286.1819
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              11035.0802344
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -8.364 -1.499
# Athena.pre_edge_line:          4248.942429 - 7.2978 * E
# Athena.normalization_range:    21.451 37.864
# Athena.post_edge_polynomial:   61847.451050 - 170.004 * E + 0 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 38.795
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 3.191
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                1.191 3.000
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         norm        flat        fbkg        nder        nsec
  290.59900       0.80786278       0.87299030      -0.12771392       0.26243013       -1.0342920
  290.66590       0.81273526       0.87884918      -0.12668327       0.27966014        1.8750957
  290.73280       0.84528131       0.91238163      -0.12565263       0.51331794        1.0377146
  290.79980       0.88146853       0.94955673      -0.12462045       0.41861013       -2.1987798
  290.86670       0.90133320       0.97040780      -0.12358980       0.21890133      -0.50233535
  290.93360       0.91075753       0.98081853      -0.12255916       0.35139766        1.8137816
  291.00050       0.94835021        1.0193976      -0.12152852       0.46158531      -0.32447285
  291.06750       0.97256380        1.0445991      -0.12049633       0.30795075       -1.1511304
  291.13440       0.98958482        1.0626065      -0.11946569       0.30744895       0.62392338
  291.20130        1.0137005        1.0877085      -0.11843504       0.39143169       -1.0301262
  291.26820        1.0419584        1.1169529      -0.11740440       0.16961806       -1.2132469
  291.33520        1.0364123        1.1123947      -0.11637222       0.22897794        2.3166446
  291.40210        1.0726185        1.1495873      -0.11534157       0.47981676       0.63623820
  291.46900        1.1006118        1.1785670      -0.11431093       0.31410661       -1.8963783
  291.53590        1.1146460        1.1935875      -0.11328029       0.22608135      -0.19972623
  291.60290        1.1308841        1.2108135      -0.11224810       0.28736327       0.79897191
  291.66980        1.1531239        1.2340398      -0.11121746       0.33306369       0.33816621
  291.73670        1.1754480        1.2573503      -0.11018681       0.33260991       -1.5202984
  291.80360        1.1976271        1.2805158      -0.10915617       0.12964776      -0.36904831
  291.87060        1.1928079        1.2766844      -0.10812399       0.28319434        2.1895642
  291.93750        1.2355469        1.3204098      -0.10709334       0.42283041       -1.2160695
  292.00440        1.2493826        1.3352319      -0.10606270       0.12048424       -4.0912042
  292.07140        1.2516797        1.3385169      -0.10503052      -0.12498184      -0.66740566
  292.13830        1.2326475        1.3204711      -0.10399987       0.31118619E-01    1.9856325
  292.20520        1.2558434        1.3446534      -0.10296923       0.14069579       0.33755965
  292.27210        1.2514726        1.3412690      -0.10193858       0.76284100E-01   -1.1085885
  292.33910        1.2660578        1.3568421      -0.10090640      -0.77442109E-02   -3.1217942
  292.40600        1.2504356        1.3422063      -0.99875757E-01  -0.34172414       -1.5869985
  292.47290        1.2203351        1.3130922      -0.98845113E-01  -0.22008461        1.6269284
  292.53980        1.2209883        1.3147318      -0.97814470E-01  -0.12404113      -0.56040563
  292.60680        1.2037260        1.2984573      -0.96782285E-01  -0.29512293       0.72241060
  292.67370        1.1814714        1.2771891      -0.95751642E-01  -0.27310346E-01    1.5810474
  292.74060        1.2000719        1.2967760      -0.94720998E-01  -0.83578786E-01   -2.2037107
  292.80750        1.1702885        1.2679791      -0.93690355E-01  -0.32216683       0.93627852
  292.87450        1.1569337        1.2556122      -0.92658171E-01   0.41788908E-01    1.7613016
  292.94140        1.1758841        1.2755489      -0.91627527E-01  -0.86328544E-01   -2.4997847
  293.00830        1.1453830        1.2460342      -0.90596883E-01  -0.29268228       -1.0539775
  293.07520        1.1367232        1.2383608      -0.89566240E-01  -0.22735074        1.1850563
  293.14220        1.1149407        1.2175662      -0.88534056E-01  -0.13400324       0.28193060
  293.20910        1.1187801        1.2223920      -0.87503412E-01  -0.18960023      -0.55264954
  293.27600        1.0895722        1.1941705      -0.86472768E-01  -0.20794775      -0.91233057
  293.34290        1.0909567        1.1965414      -0.85442125E-01  -0.31167006       -1.6186473
  293.40990        1.0478396        1.1544122      -0.84409941E-01  -0.42468462        2.2179553
  293.47680        1.0340915        1.1416504      -0.83379297E-01  -0.14685843E-01    2.6286907
  293.54370        1.0458746        1.1544200      -0.82348654E-01  -0.72965805E-01  -0.91487490
  293.61060        1.0243286        1.1338604      -0.81318010E-01  -0.13709610      -0.95091481
  293.67760        1.0275175        1.1380371      -0.80285826E-01  -0.20029330       -1.1067235
  293.74450       0.99750936        1.1090154      -0.79255182E-01  -0.28528638       0.91523055
  293.81140       0.98934614        1.1018386      -0.78224539E-01  -0.77835450E-01    1.7798739
  293.87830       0.98709498        1.1005738      -0.77193895E-01  -0.47139249E-01   0.44820066
  293.94530       0.98303420        1.0975009      -0.76161711E-01  -0.17821382E-01  -0.60643007
  294.01220       0.98470869        1.1001618      -0.75131067E-01  -0.12834024       -1.7445807
  294.07910       0.96586227        1.0823018      -0.74100424E-01  -0.25124628      -0.54742676
  294.14600       0.95109194        1.0685179      -0.73069780E-01  -0.20158594        1.9474221
  294.21300       0.93886992        1.0572837      -0.72037596E-01   0.95135365E-02    1.7224709
  294.27990       0.95236580        1.0717660      -0.71006953E-01   0.29052914E-01  -0.30047467
  294.34680       0.94275720        1.0631438      -0.69976309E-01  -0.30689974E-01   0.20626278
  294.41370       0.94825949        1.0696325      -0.68945665E-01   0.56650874E-01  -0.36272583
  294.48070       0.95034275        1.0727036      -0.67913481E-01  -0.79258963E-01  -0.44935299
  294.54760       0.93764671        1.0609940      -0.66882838E-01  -0.35174917E-02    1.7427149
  294.61450       0.94987211        1.0742058      -0.65852194E-01   0.15391630       0.73693860
  294.68140       0.95824071        1.0835608      -0.64821551E-01   0.95084893E-01   -1.7245825
  294.74840       0.96260397        1.0889119      -0.63789366E-01  -0.77005304E-01   -1.9090592
  294.81530       0.94792970        1.0752241      -0.62758723E-01  -0.16053814      -0.47554236
  294.88220       0.94112397        1.0694047      -0.61728079E-01  -0.14063287       0.98824180
  294.94910       0.92911302        1.0583802      -0.60697436E-01  -0.28311385E-01    1.7109702
  295.01610       0.93733308        1.0675881      -0.59665252E-01   0.88466039E-01   0.59608767
  295.08300       0.94095863        1.0722001      -0.58634608E-01   0.51504753E-01   -1.3724952
  295.14990       0.94422441        1.0764522      -0.57603964E-01  -0.95173824E-01  -0.47893224
  295.21680       0.92822437        1.0614386      -0.56573321E-01  -0.12576380E-01    1.2357110
  295.28380       0.94254044        1.0767425      -0.55541137E-01   0.70287878E-01  -0.52829176
  295.35070       0.93763591        1.0728244      -0.54510493E-01  -0.83314647E-01  -0.51082581
