*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: CH2CN
* Name: Acetonitrile
* Edge: C 1s
* Alpha Formula: C2H3N
* Data Source: Hitchcock
* Filename:  an-0cckk.os
* Ref. Code: HTM89
* Write Date: 93/06/10
* Reference: J. Phys. Chem. 93 (89) 3068.
* Source and Purity: N/A
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0anc4    name2- 0anc.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
   334.3620       29639.00       .7093516    
   334.4890       29350.00       .7025133    
   334.6160       29299.00       .7021188    
   334.7430       29295.00       .7030027    
   334.8700       29207.00       .7015951    
   334.9970       29162.00       .7013590    
   335.1240       29215.00       .7037923    
   335.2510       29052.00       .7003357    
   335.3780       28983.00       .6994349    
   335.5050       28996.00       .7007775    
   335.6320       29071.00       .7038178    
   335.7590       28868.00       .6992337    
   335.8860       28858.00       .6999431    
   336.0130       28877.00       .7014551    
   336.1390       28646.00       .6960723    
   336.2660       28585.00       .6953720    
   336.3930       28928.00       .7058148    
   336.5200       28383.00       .6917481    
   336.6470       28342.00       .6915827    
   336.7740       28214.00       .6890090    
   336.9010       28753.00       .7049263    
   337.0280       28228.00       .6913360    
   337.1550       28514.00       .7002581    
   337.2820       27983.00       .6864680    
   337.4090       28080.00       .6901328    
   337.5360       28104.00       .6917710    
   337.6630       27922.00       .6876581    
   337.7900       28229.00       .6972049    
   337.9170       27890.00       .6886953    
   338.0440       28034.00       .6936928    
   338.1710       27979.00       .6931234    
   338.2980       27799.00       .6890340    
   338.4250       27821.00       .6906205    
   338.5520       27964.00       .6956107    
   338.6790       27529.00       .6843244    
   338.8050       27510.00       .6847426    
   338.9320       27581.00       .6877052    
   339.0590       27196.00       .6777833    
   339.1860       27547.00       .6886671    
   339.3130       27887.00       .6992651    
   339.4400       27349.00       .6849739    
   339.5670       27085.00       .6784254    
   339.6940       27287.00       .6851221    
   339.8210       27214.00       .6840025    
   339.9480       27372.00       .6894603    
   340.0750       26933.00       .6778938    
   340.2020       26894.00       .6777242    
   340.3290       27302.00       .6903386    
   340.4560       26789.00       .6766081    
   340.5830       27092.00       .6862419    
   340.7100       26816.00       .6792718    
   340.8370       26971.00       .6846724    
   340.9640       27050.00       .6879000    
   341.0910       26810.00       .6819403    
   341.2180       26700.00       .6797167    
   341.3450       26743.00       .6819039    
   341.4710       26432.00       .6738589    
   341.5980       26426.00       .6746267    
   341.7250       26466.00       .6767214    
   341.8520       26596.00       .6814351    
   341.9790       26320.00       .6743694    
   342.1060       26505.00       .6806796    
   342.2330       26199.00       .6727183    
   342.3600       26090.00       .6704805    
   342.4870       26329.00       .6783816    
   342.6140       26330.00       .6793495    
   342.7410       25981.00       .6700909    
   342.8680       26076.00       .6738008    
   342.9950       25955.00       .6711909    
   343.1220       25868.00       .6695663    
   343.2490       26015.00       .6748143    
   343.3760       25819.00       .6699849    
   343.5030       25313.00       .6560227    
   343.6300       25833.00       .6722544    
   343.7570       25942.00       .6763989    
   343.8840       26033.00       .6800206    
