*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: C6H4S3N2
* Name: 1,3,5,2,4-benzotrithiadiazepine
* Edge: N 1s
* Alpha Formula: C6H4N2S3
* Data Source: Hitchcock
* Filename:  bv-0nnkk.os
* Ref. Code: HD&91
* Write Date: 93/06/10
* Reference: J. El. Spec. 57 (91) 165.
* Source and Purity: Oakley, U. Guelph
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 3    name1- 0bncs    name2- 0bncs-n.     name3- 0bnc.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  4.110840E+02,  1.073528E+04,  1.061277E+04,  5.519031E-01,
  4.112240E+02,  1.060185E+04,  1.047940E+04,  5.130832E-01,
  4.113630E+02,  1.086404E+04,  1.074203E+04,  6.014432E-01,
  4.115030E+02,  1.082103E+04,  1.069969E+04,  5.918567E-01,
  4.116430E+02,  1.058174E+04,  1.046075E+04,  5.191137E-01,
  4.117830E+02,  1.066289E+04,  1.054175E+04,  5.491422E-01,
  4.119230E+02,  1.075954E+04,  1.063806E+04,  5.840859E-01,
  4.120630E+02,  1.070771E+04,  1.058587E+04,  5.713193E-01,
  4.122020E+02,  1.071508E+04,  1.059251E+04,  5.774209E-01,
  4.123420E+02,  1.049486E+04,  1.037089E+04,  5.102199E-01,
  4.124820E+02,  1.056133E+04,  1.043530E+04,  5.348977E-01,
  4.126220E+02,  1.054773E+04,  1.041907E+04,  5.336688E-01,
  4.127620E+02,  1.060108E+04,  1.046918E+04,  5.537428E-01,
  4.129020E+02,  1.063064E+04,  1.049473E+04,  5.659266E-01,
  4.130410E+02,  1.061038E+04,  1.046978E+04,  5.618520E-01,
  4.131810E+02,  1.065255E+04,  1.050641E+04,  5.775874E-01,
  4.133210E+02,  1.058108E+04,  1.042853E+04,  5.565301E-01,
  4.134610E+02,  1.075864E+04,  1.059928E+04,  6.153395E-01,
  4.136010E+02,  1.062419E+04,  1.045864E+04,  5.741158E-01,
  4.137410E+02,  1.049525E+04,  1.032466E+04,  5.350267E-01,
  4.138800E+02,  1.057971E+04,  1.040483E+04,  5.646955E-01,
  4.140200E+02,  1.070836E+04,  1.052953E+04,  6.086949E-01,
  4.141600E+02,  1.074909E+04,  1.056703E+04,  6.246790E-01,
  4.143000E+02,  1.061090E+04,  1.042674E+04,  5.835460E-01,
  4.144400E+02,  1.063939E+04,  1.045391E+04,  5.962052E-01,
  4.145800E+02,  1.053076E+04,  1.034396E+04,  5.648112E-01,
  4.147190E+02,  1.053695E+04,  1.034856E+04,  5.701804E-01,
  4.148590E+02,  1.054447E+04,  1.035451E+04,  5.760101E-01,
  4.149990E+02,  1.051999E+04,  1.032902E+04,  5.717352E-01,
  4.151390E+02,  1.047722E+04,  1.028589E+04,  5.617879E-01,
  4.152790E+02,  1.044912E+04,  1.025775E+04,  5.566525E-01,
  4.154190E+02,  1.050856E+04,  1.031739E+04,  5.797116E-01,
  4.155580E+02,  1.054617E+04,  1.035564E+04,  5.958704E-01,
  4.156980E+02,  1.040505E+04,  1.021555E+04,  5.547584E-01,
  4.158380E+02,  1.042672E+04,  1.023855E+04,  5.660363E-01,
  4.159780E+02,  1.031429E+04,  1.012824E+04,  5.344865E-01,
  4.161180E+02,  1.040722E+04,  1.022412E+04,  5.691650E-01,
  4.162580E+02,  1.032518E+04,  1.014443E+04,  5.474439E-01,
  4.163970E+02,  1.040023E+04,  1.022008E+04,  5.755881E-01,
  4.165370E+02,  1.045069E+04,  1.027009E+04,  5.955240E-01,
  4.166770E+02,  1.035345E+04,  1.017233E+04,  5.679839E-01,
  4.168170E+02,  1.012053E+04,  9.938972E+03,  4.968810E-01,
  4.169570E+02,  1.023784E+04,  1.005558E+04,  5.381981E-01,
  4.170970E+02,  1.020788E+04,  1.002384E+04,  5.318514E-01,
  4.172360E+02,  1.009162E+04,  9.905192E+03,  4.975602E-01,
  4.173760E+02,  1.011958E+04,  9.931320E+03,  5.097986E-01,
  4.175160E+02,  1.011683E+04,  9.926671E+03,  5.121454E-01,
  4.176560E+02,  1.025094E+04,  1.005829E+04,  5.582620E-01,
  4.177960E+02,  1.025722E+04,  1.006173E+04,  5.632012E-01,
  4.179360E+02,  1.022322E+04,  1.002498E+04,  5.552235E-01,
  4.180750E+02,  1.016287E+04,  9.962549E+03,  5.389675E-01,
  4.182150E+02,  1.009749E+04,  9.895629E+03,  5.212910E-01,
  4.183550E+02,  1.008054E+04,  9.876628E+03,  5.190048E-01,
  4.184950E+02,  1.013086E+04,  9.923835E+03,  5.379821E-01,
  4.186350E+02,  1.023183E+04,  1.002187E+04,  5.732834E-01,
  4.187750E+02,  1.027354E+04,  1.006193E+04,  5.899590E-01,
  4.189140E+02,  1.014841E+04,  9.935286E+03,  5.530501E-01,
  4.190540E+02,  1.021164E+04,  9.997066E+03,  5.766936E-01,
  4.191940E+02,  1.022844E+04,  1.001352E+04,  5.857727E-01,
  4.193340E+02,  1.023419E+04,  1.001970E+04,  5.915484E-01,
  4.194740E+02,  1.016590E+04,  9.953261E+03,  5.739917E-01,
  4.196140E+02,  1.012417E+04,  9.914101E+03,  5.651946E-01,
  4.197530E+02,  1.019586E+04,  9.987473E+03,  5.925151E-01,
  4.198930E+02,  1.012955E+04,  9.923052E+03,  5.755959E-01,
  4.200330E+02,  1.004315E+04,  9.838367E+03,  5.521625E-01,
  4.201730E+02,  1.007636E+04,  9.873310E+03,  5.671546E-01,
  4.203130E+02,  1.008829E+04,  9.887579E+03,  5.755011E-01,
  4.204530E+02,  1.005987E+04,  9.860800E+03,  5.706582E-01,
  4.205920E+02,  1.000235E+04,  9.804768E+03,  5.563877E-01,
  4.207320E+02,  1.003495E+04,  9.838132E+03,  5.708567E-01,
  4.208720E+02,  1.007126E+04,  9.875051E+03,  5.864646E-01,
  4.210120E+02,  1.015412E+04,  9.959553E+03,  6.173533E-01,
  4.211520E+02,  1.016668E+04,  9.973873E+03,  6.256939E-01,
  4.212920E+02,  9.955841E+03,  9.763927E+03,  5.619881E-01,
  4.214310E+02,  1.007222E+04,  9.881282E+03,  6.033930E-01,
  4.215710E+02,  1.004256E+04,  9.853244E+03,  5.981156E-01,
  4.217110E+02,  9.986920E+03,  9.799261E+03,  5.844991E-01,
  4.218510E+02,  9.895715E+03,  9.709819E+03,  5.594892E-01,
  4.219910E+02,  9.905131E+03,  9.720049E+03,  5.664923E-01,
  4.221300E+02,  9.891856E+03,  9.707108E+03,  5.660231E-01,
  4.222700E+02,  9.840742E+03,  9.656854E+03,  5.535896E-01,
  4.224100E+02,  9.862215E+03,  9.679605E+03,  5.646052E-01,
  4.225500E+02,  9.952401E+03,  9.772047E+03,  5.980028E-01,
  4.226900E+02,  9.930805E+03,  9.753478E+03,  5.957371E-01,
  4.228300E+02,  9.848606E+03,  9.673066E+03,  5.736013E-01,
  4.229690E+02,  9.792528E+03,  9.616883E+03,  5.592185E-01,
  4.231090E+02,  9.774232E+03,  9.598632E+03,  5.570443E-01,
  4.232490E+02,  9.857812E+03,  9.681771E+03,  5.874356E-01,
  4.233890E+02,  9.722193E+03,  9.547315E+03,  5.479243E-01,
  4.235290E+02,  9.738782E+03,  9.565627E+03,  5.574833E-01,
  4.236690E+02,  9.724264E+03,  9.552145E+03,  5.568259E-01,
  4.238080E+02,  9.681563E+03,  9.508826E+03,  5.465541E-01,
  4.239480E+02,  9.620106E+03,  9.448521E+03,  5.308477E-01,
  4.240880E+02,  9.663400E+03,  9.492969E+03,  5.487885E-01,
  4.242280E+02,  9.740587E+03,  9.570742E+03,  5.774300E-01,
  4.243680E+02,  9.673935E+03,  9.503576E+03,  5.595093E-01,
  4.245080E+02,  9.628987E+03,  9.458899E+03,  5.488088E-01,
  4.246470E+02,  9.528545E+03,  9.359755E+03,  5.205818E-01,
  4.247870E+02,  9.506474E+03,  9.338414E+03,  5.173699E-01,
  4.249270E+02,  9.656704E+03,  9.488876E+03,  5.693447E-01,
  4.250670E+02,  9.630393E+03,  9.463622E+03,  5.648687E-01,
  4.252070E+02,  9.586055E+03,  9.421276E+03,  5.548995E-01,
  4.253470E+02,  9.593834E+03,  9.430622E+03,  5.615309E-01,
  4.254860E+02,  9.719674E+03,  9.557861E+03,  6.060051E-01,
  4.256260E+02,  9.464350E+03,  9.304164E+03,  5.281314E-01,
  4.257660E+02,  9.595806E+03,  9.435831E+03,  5.740460E-01,
  4.259060E+02,  9.451508E+03,  9.291039E+03,  5.311496E-01,
  4.260460E+02,  9.467473E+03,  9.307246E+03,  5.399672E-01,
  4.261860E+02,  9.345518E+03,  9.186258E+03,  5.047101E-01,
  4.263250E+02,  9.409660E+03,  9.252063E+03,  5.294281E-01,
  4.264650E+02,  9.410343E+03,  9.253560E+03,  5.335096E-01,
  4.266050E+02,  9.406904E+03,  9.250703E+03,  5.361900E-01,
  4.267450E+02,  9.427697E+03,  9.273002E+03,  5.469469E-01,
  4.268850E+02,  9.542036E+03,  9.388673E+03,  5.876953E-01,
  4.270250E+02,  9.456619E+03,  9.305017E+03,  5.644085E-01,
  4.271640E+02,  9.419099E+03,  9.268217E+03,  5.561452E-01,
  4.273040E+02,  9.354625E+03,  9.203189E+03,  5.388358E-01,
  4.274440E+02,  9.358002E+03,  9.206413E+03,  5.434480E-01,
  4.275840E+02,  9.329042E+03,  9.178449E+03,  5.380383E-01,
  4.277240E+02,  9.366880E+03,  9.217926E+03,  5.542885E-01,
