*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: C6H5CN
* Name: Benzonitrile
* Edge: C 1s
* Alpha Formula: C7H5N
* Data Source: Hitchcock
* Filename:  bq-0cckk.os
* Ref. Code: H92a
* Write Date: 93/06/10
* Reference: Hitchcock (unpublished)
* Source and Purity: Aldrich (99.9%)
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.55 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0bqc.     name2- 0bqc.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  3.003886E+02   2.038400E+04   1.084016E+00 
  3.005161E+02   2.068300E+04   1.103047E+00 
  3.006435E+02   2.049400E+04   1.093515E+00 
  3.007709E+02   2.030000E+04   1.083663E+00 
  3.008983E+02   2.055800E+04   1.100349E+00 
  3.010257E+02   2.048700E+04   1.097713E+00 
  3.011531E+02   2.025100E+04   1.085346E+00 
  3.012805E+02   2.044600E+04   1.098374E+00 
  3.014079E+02   2.023500E+04   1.087448E+00 
  3.015353E+02   2.051200E+04   1.105356E+00 
  3.016628E+02   2.016500E+04   1.086352E+00 
  3.017902E+02   2.026200E+04   1.093626E+00 
  3.019176E+02   2.009200E+04   1.085062E+00 
  3.020450E+02   2.042100E+04   1.106140E+00 
  3.021724E+02   2.042600E+04   1.107983E+00 
  3.022998E+02   2.054600E+04   1.116683E+00 
  3.024272E+02   2.039700E+04   1.109348E+00 
  3.025546E+02   2.037100E+04   1.109341E+00 
  3.026820E+02   2.038500E+04   1.111726E+00 
  3.028094E+02   2.015900E+04   1.099737E+00 
  3.029369E+02   2.024000E+04   1.106129E+00 
  3.030643E+02   2.009400E+04   1.098902E+00 
  3.031917E+02   2.059100E+04   1.130319E+00 
  3.033191E+02   2.024000E+04   1.110756E+00 
  3.034465E+02   2.014100E+04   1.106333E+00 
  3.035739E+02   2.030600E+04   1.117832E+00 
  3.037013E+02   1.980500E+04   1.089106E+00 
  3.038287E+02   2.007800E+04   1.107142E+00 
  3.039561E+02   2.004800E+04   1.106863E+00 
  3.040836E+02   1.974200E+04   1.089836E+00 
  3.042110E+02   1.967500E+04   1.087282E+00 
  3.043384E+02   1.985100E+04   1.099498E+00 
  3.044658E+02   1.968200E+04   1.090733E+00 
  3.045932E+02   1.966400E+04   1.091150E+00 
  3.047206E+02   1.944700E+04   1.079416E+00 
  3.048480E+02   1.928400E+04   1.070952E+00 
  3.049754E+02   1.894800E+04   1.051875E+00 
  3.051028E+02   1.900500E+04   1.056832E+00 
  3.052303E+02   1.900000E+04   1.057994E+00 
  3.053577E+02   1.906900E+04   1.063704E+00 
  3.054851E+02   1.871600E+04   1.043466E+00 
  3.056125E+02   1.850600E+04   1.031982E+00 
  3.057399E+02   1.858200E+04   1.038105E+00 
  3.058673E+02   1.832900E+04   1.023926E+00 
  3.059947E+02   1.846000E+04   1.033450E+00 
  3.061221E+02   1.793900E+04   1.002635E+00 
  3.062495E+02   1.808400E+04   1.013019E+00 
  3.063770E+02   1.779400E+04   9.964314E-01 
  3.065044E+02   1.756900E+04   9.838388E-01 
  3.066318E+02   1.749200E+04   9.804205E-01 
  3.067592E+02   1.762600E+04   9.901344E-01 
  3.068866E+02   1.745300E+04   9.807231E-01 
  3.070140E+02   1.780900E+04   1.004321E+00 
  3.071414E+02   1.728800E+04   9.731401E-01 
  3.072688E+02   1.735200E+04   9.785027E-01 
  3.073962E+02   1.702100E+04   9.591168E-01 
  3.075237E+02   1.711000E+04   9.660398E-01 
  3.076511E+02   1.705900E+04   9.641806E-01 
  3.077785E+02   1.692000E+04   9.567774E-01 
  3.079059E+02   1.652500E+04   9.332263E-01 
  3.080333E+02   1.677600E+04   9.503615E-01 
  3.081607E+02   1.653600E+04   9.365283E-01 
  3.082881E+02   1.649200E+04   9.350520E-01 
  3.084155E+02   1.645700E+04   9.341401E-01 
  3.085429E+02   1.644200E+04   9.344914E-01 
  3.086703E+02   1.633100E+04   9.287480E-01 
  3.087978E+02   1.626400E+04   9.257851E-01 
  3.089252E+02   1.610700E+04   9.170855E-01 
  3.090526E+02   1.593000E+04   9.070880E-01 
  3.091800E+02   1.604900E+04   9.159452E-01 
  3.093074E+02   1.607300E+04   9.187546E-01 
  3.094348E+02   1.606100E+04   9.192671E-01 
  3.095622E+02   1.598400E+04   9.156168E-01 
  3.096896E+02   1.563300E+04   8.943904E-01 
  3.098170E+02   1.575600E+04   9.035336E-01 
  3.099445E+02   1.589900E+04   9.139824E-01 
  3.100719E+02   1.532700E+04   8.784479E-01 
  3.101993E+02   1.563200E+04   8.993248E-01 
  3.103267E+02   1.544000E+04   8.881920E-01 
  3.104541E+02   1.526700E+04   8.782566E-01 
  3.105815E+02   1.546100E+04   8.920273E-01 
  3.107089E+02   1.523200E+04   8.784422E-01 
  3.108363E+02   1.502000E+04   8.659236E-01 
  3.109637E+02   1.509300E+04   8.718705E-01 
  3.110912E+02   1.504500E+04   8.699666E-01 
  3.112186E+02   1.512800E+04   8.765803E-01 
  3.113460E+02   1.485300E+04   8.598847E-01 
  3.114734E+02   1.484900E+04   8.608232E-01 
  3.116008E+02   1.477900E+04   8.574518E-01 
  3.117282E+02   1.449700E+04   8.402070E-01 
  3.118556E+02   1.459800E+04   8.479934E-01 
  3.119830E+02   1.451700E+04   8.438668E-01 
  3.121104E+02   1.466800E+04   8.549547E-01 
  3.122379E+02   1.433200E+04   8.340653E-01 
  3.123653E+02   1.447700E+04   8.447703E-01 
  3.124927E+02   1.422200E+04   8.291489E-01 
  3.126201E+02   1.404400E+04   8.185658E-01 
  3.127475E+02   1.418600E+04   8.290877E-01 
  3.128749E+02   1.427800E+04   8.363273E-01 
  3.130023E+02   1.411700E+04   8.268338E-01 
  3.131297E+02   1.404000E+04   8.228830E-01 
  3.132571E+02   1.392200E+04   8.161995E-01 
  3.133846E+02   1.394600E+04   8.189335E-01 
  3.135120E+02   1.379200E+04   8.098300E-01 
  3.136394E+02   1.379500E+04   8.111600E-01 
  3.137668E+02   1.378700E+04   8.117585E-01 
  3.138942E+02   1.369600E+04   8.068138E-01 
  3.140216E+02   1.364900E+04   8.047969E-01 
  3.141490E+02   1.357500E+04   8.009661E-01 
  3.142764E+02   1.330800E+04   7.841887E-01 
  3.144038E+02   1.347200E+04   7.962902E-01 
  3.145313E+02   1.349200E+04   7.987450E-01 
  3.146587E+02   1.342500E+04   7.953513E-01 
  3.147861E+02   1.314600E+04   7.776694E-01 
  3.149135E+02   1.327800E+04   7.876577E-01 
  3.150409E+02   1.325000E+04   7.868658E-01 
  3.151683E+02   1.309000E+04   7.771477E-01 
  3.152957E+02   1.297000E+04   7.701107E-01 
  3.154231E+02   1.304700E+04   7.764046E-01 
  3.155505E+02   1.309500E+04   7.807447E-01 
  3.156779E+02   1.290100E+04   7.686544E-01 
  3.158054E+02   1.273700E+04   7.585731E-01 
  3.159328E+02   1.287400E+04   7.689629E-01 
  3.160602E+02   1.285300E+04   7.686037E-01 
  3.161876E+02   1.269800E+04   7.590949E-01 
  3.163150E+02   1.278600E+04   7.661694E-01 
  3.164424E+02   1.275200E+04   7.649106E-01 
  3.165698E+02   1.268500E+04   7.613863E-01 
  3.166972E+02   1.274000E+04   7.662208E-01 
  3.168246E+02   1.252600E+04   7.525901E-01 
  3.169521E+02   1.237100E+04   7.429818E-01 
  3.170795E+02   1.232200E+04   7.406460E-01 
  3.172069E+02   1.243700E+04   7.496077E-01 
  3.173343E+02   1.242600E+04   7.498941E-01 
  3.174617E+02   1.232700E+04   7.440982E-01 
  3.175891E+02   1.255500E+04   7.609100E-01 
  3.177165E+02   1.254900E+04   7.615523E-01 
  3.178439E+02   1.212400E+04   7.331356E-01 
  3.179713E+02   1.222400E+04   7.411026E-01 
  3.180988E+02   1.226400E+04   7.449162E-01 
  3.182262E+02   1.230400E+04   7.487373E-01 
  3.183536E+02   1.208000E+04   7.341677E-01 
  3.184810E+02   1.213400E+04   7.389589E-01 
  3.186084E+02   1.189800E+04   7.235005E-01 
  3.187358E+02   1.205100E+04   7.352113E-01 
  3.188632E+02   1.203000E+04   7.347641E-01 
  3.189906E+02   1.185900E+04   7.237970E-01 
  3.191180E+02   1.201200E+04   7.355461E-01 
  3.192455E+02   1.203400E+04   7.381148E-01 
  3.193729E+02   1.199300E+04   7.362549E-01 
  3.195003E+02   1.222900E+04   7.539048E-01 
  3.196277E+02   1.175100E+04   7.212306E-01 
  3.197551E+02   1.175800E+04   7.227288E-01 
  3.198825E+02   1.181600E+04   7.278352E-01 
  3.200099E+02   1.186500E+04   7.323151E-01 
  3.201373E+02   1.175700E+04   7.256759E-01 
  3.202647E+02   1.149400E+04   7.080194E-01 
  3.203922E+02   1.196100E+04   7.421870E-01 
  3.205196E+02   1.170200E+04   7.247889E-01 
  3.206470E+02   1.175700E+04   7.297119E-01 
  3.207744E+02   1.182300E+04   7.354293E-01 
  3.209018E+02   1.168300E+04   7.264518E-01 
  3.210292E+02   1.170100E+04   7.287449E-01 
  3.211566E+02   1.178400E+04   7.356937E-01 
  3.212840E+02   1.171600E+04   7.318382E-01 
  3.214114E+02   1.150600E+04   7.177843E-01 
  3.215388E+02   1.156900E+04   7.233040E-01 
  3.216663E+02   1.166600E+04   7.312805E-01 
  3.217937E+02   1.155600E+04   7.243706E-01 
  3.219211E+02   1.163600E+04   7.311387E-01 
  3.220485E+02   1.137400E+04   7.132388E-01 
  3.221759E+02   1.129900E+04   7.088066E-01 
  3.223033E+02   1.170800E+04   7.393779E-01 
  3.224307E+02   1.149600E+04   7.250402E-01 
  3.225581E+02   1.161400E+04   7.345979E-01 
  3.226855E+02   1.144000E+04   7.229759E-01 
  3.228130E+02   1.134000E+04   7.167035E-01 
  3.229404E+02   1.152500E+04   7.311575E-01 
